,Name,Links
0,HydraDX (HDX),['https://docs.hydradx.io/']
1,Green Satoshi Token,"['https://whitepaper.stepn.com/tokenomics/gst', 'https://whitepaper.stepn.com/']"
2,Brokoli Network,['https://whitepaper.brokoli.network']
3,Huobi,"['https://www.hbtc.finance/static/pdf/whitepaper-en.pdf', 'https://www.htokens.finance/static/pdf/whitepaper-en.pdf']"
4,Polkadot (cryptocurrency),['https://polkadot.network/PolkaDotPaper.pdf']
5,Changpeng Zhao,['https://whitepaper.io/document/10/binance-whitepaper']
6,Ethereum,['https://ethereum.org/en/whitepaper/']
7,Axelar,['https://axelar.network/wp-content/uploads/2021/07/axelar_whitepaper.pdf']
8,VeChain,"['https://www.vechain.org/whitepaper/#bit_65sv8', 'https://whitepaper.io/document/578/vechain-whitepaper']"
9,Kava,"['https://whitepaper.io/coin/kava-io', 'https://whitepaper.io/document/615/kava-io-whitepaper']"
10,Moonbeam,['https://docs.moonbeam.network/']
11,Morpheus.Network,['https://morpheus.network/assets/Morpheus.Network_Black_Platform.pdf']
12,Cellframe Network,['https://cellframe.net/white-paper/']
13,NEAR Protocol,['https://near.org/papers/the-official-near-white-paper/']
14,solcial,['https://blog.solcial.io/english/distributed-social-network/']
15,CoW Protocol,['https://docs.cow.fi/']
16,Strata Protocol,['https://docs.strataprotocol.com/']
17,PlanetQuest,['https://planetquest.io/whitepaper']
18,Manta,"['https://eprint.iacr.org/2021/743.pdf', 'https://docsend.com/view/sbadkmvyjazgqh6a']"
19,Cosmos,['https://v1.cosmos.network/resources/whitepaper']
20,Goldfinch,['https://goldfinch.finance/goldfinch_whitepaper.pdf']
21,Meow,['https://docsend.com/view/x47sfjtugnt7pibq']
22,Galxe,['https://docs.galaxy.eco/']
23,,['https://bitcoin.org/bitcoin.pdf']
24,Verasity,['https://verasity.io/documents/verasity_whitepaper_eng.pdf']
0,Flow (blockchain),"['https://whitepaper.io/document/625/flow-dapper-labs-whitepaper', 'https://www.onflow.org/technical-paper/']"
1,Polygon,"['https://whitepaper.io/document/646/polygon-whitepaper', 'https://polygon.technology/papers/']"
2,FTX Trading Ltd.,['https://docs.google.com/document/d/1u5MOkENoWP8PGcjuoKqRkNP5Gl1LLRB9JvAHwffQ7ec/view']
3,Internet Computer,['https://internetcomputer.org/whitepaper.pdf']
4,EXMO,"['https://exmo.money/wp-content/themes/exmo/files/EXMOCoin_whitepaper_ru.pdf', 'https://exmo.money/wp-content/themes/exmo/files/EXMOCoin_whitepaper_en.pdf']"
5,Holo (cryptocurrency),['https://github.com/holochain/holochain-proto/blob/whitepaper/holochain.pdf']
6,dYdX,['https://whitepaper.dydx.exchange/']
7,Solana,['https://solana.com/solana-whitepaper.pdf']
8,The Graph,['https://thegraph.com/docs/']
9,Ankr,"['https://assets.ankr.com/files/stkr_whitepaper.pdf', 'https://www.allcryptowhitepapers.com/ankr-network-whitepaper/']"
